planet_name,star_system,distance_from_earth_ly,mass_earth_masses,radius_km,orbital_period_days,surface_temp_c,has_rings,number_of_moons,gravity_m_s2,escape_velocity_km_s,atmosphere_type,discovered_year,discovering_mission,habitable,water_presence,magnetic_field,axial_tilt_deg,rotation_period_hours,radiation_level
Venus,Sol,526.45,82.49,34395.0,7234.6,-4.9,False,76,3.18,13.2,Thin,1760,Hubble,True,Ice,False,14.24,415.93,204.33
Neptune,Alpha Centauri,731.62,118.43,1367.0,450.8,471.2,True,58,4.89,39.59,Toxic,1958,JWST,False,None,True,15.09,155.58,26.3
Mars,Sol,81.72,126.61,56510.0,4084.0,-100.0,True,49,19.7,25.56,Thick,1727,Hubble,False,Vapor,False,59.57,786.41,275.25
Saturn,Betelgeuse,60.45,123.37,54324.0,5187.0,205.9,False,68,10.85,11.6,Thick,1809,Galileo,False,Liquid,False,49.54,126.44,153.65
Saturn,Proxima Centauri,247.18,272.29,38841.0,5827.4,-2.2,False,69,21.53,41.66,None,1750,JWST,True,None,True,10.99,193.39,266.8
Venus,Alpha Centauri,159.63,214.24,5586.0,9362.6,-4.7,False,29,17.17,34.34,None,1854,Apollo,True,Liquid,True,10.14,215.46,67.15
Neptune,Sol,871.8,182.41,53890.0,6738.9,83.5,False,94,8.42,51.66,Thick,1817,Galileo,False,Ice,True,6.51,559.11,466.31
Mars,Betelgeuse,219.29,92.88,41276.0,4838.7,499.2,True,16,19.87,7.93,Thin,1629,Hubble,True,Ice,True,66.94,788.12,447.26
Jupiter,Betelgeuse,975.87,247.15,54955.0,8106.3,-161.5,False,74,4.37,47.35,None,1644,JWST,False,Liquid,False,64.07,317.74,95.0
Mercury,Sol,336.96,286.52,52871.0,9507.8,205.0,True,19,16.56,40.74,Toxic,1679,Galileo,False,Liquid,True,5.26,89.25,171.72
Mars,Proxima Centauri,182.2,246.38,56407.0,269.6,-142.2,True,47,13.68,7.79,None,1638,Hubble,False,Liquid,False,50.42,467.22,306.75
Venus,Sol,789.72,0.57,36743.0,9826.1,-91.8,True,72,8.77,41.99,Thin,1839,Voyager,True,Ice,True,7.62,749.37,47.84
Saturn,Alpha Centauri,658.74,190.96,10682.0,907.0,107.7,True,1,18.52,27.05,None,1644,Voyager,True,Ice,True,81.34,225.56,177.28
Jupiter,Sol,498.25,15.44,47310.0,8153.1,157.3,False,36,26.27,56.75,Toxic,1677,Cassini,False,None,True,81.64,223.82,125.56
Mars,Betelgeuse,555.41,77.36,43813.0,2839.3,-18.8,False,0,29.97,9.36,Toxic,1936,Apollo,True,Vapor,True,62.84,947.49,457.76
Mercury,Sol,719.23,17.95,52215.0,1365.2,21.5,False,3,18.63,38.93,Toxic,1995,Voyager,False,Vapor,True,83.36,954.38,426.26
Mercury,Proxima Centauri,228.53,181.18,12722.0,4426.6,-139.1,False,99,12.74,23.54,Thin,1948,Hubble,True,Ice,False,73.03,990.51,289.92
Earth,Sirius,996.33,206.01,14453.0,6457.4,12.3,True,53,7.53,57.45,Thin,1887,Galileo,True,Vapor,True,74.57,808.62,260.17
Earth,Sol,974.8,34.43,62438.0,3840.5,476.6,True,24,8.46,20.47,Toxic,1879,JWST,True,Liquid,False,51.27,192.24,465.36
Uranus,Proxima Centauri,650.36,115.21,52748.0,592.9,461.3,True,2,14.9,57.77,Toxic,1715,Galileo,False,None,True,27.55,215.92,466.21
Venus,Proxima Centauri,199.62,136.93,63668.0,6014.6,34.4,False,8,11.65,54.19,Thin,1868,Cassini,False,Ice,False,19.6,343.52,484.67
Neptune,Betelgeuse,680.26,110.78,53351.0,9028.9,199.6,True,85,27.5,16.95,Thin,2003,Galileo,False,Ice,True,29.45,321.54,62.69
Mars,Proxima Centauri,72.29,36.4,42204.0,3863.0,436.7,True,86,11.68,48.41,Thin,1934,Voyager,True,Vapor,True,56.56,956.75,80.28
Mars,Proxima Centauri,30.75,125.74,46135.0,2202.5,-195.7,True,75,11.83,59.74,Thick,1911,Galileo,False,Liquid,True,15.54,790.13,338.37
Neptune,Proxima Centauri,257.76,225.38,62350.0,4453.6,367.5,True,73,12.12,15.91,Thin,1652,Voyager,False,None,False,23.28,725.39,270.72
Uranus,Proxima Centauri,462.68,21.4,40938.0,531.2,463.9,False,33,25.26,26.77,Toxic,1667,Voyager,False,Vapor,False,42.13,190.03,9.23
Saturn,Alpha Centauri,868.29,24.15,44635.0,8213.9,-136.1,True,42,19.87,31.69,Thick,1781,Apollo,False,Ice,True,20.97,909.98,30.99
Saturn,Alpha Centauri,727.2,106.5,11797.0,8272.1,-87.0,True,73,18.81,18.4,Thin,1633,Cassini,True,Ice,True,52.98,828.73,444.04
Uranus,Betelgeuse,742.73,282.52,33701.0,5900.6,472.5,False,93,10.69,1.9,Toxic,1883,Hubble,True,Vapor,True,83.09,167.82,434.44
Saturn,Sol,425.55,200.6,50431.0,3563.4,176.3,False,21,24.72,13.99,None,1905,Voyager,False,Liquid,False,67.33,871.81,178.64
Earth,Proxima Centauri,346.0,203.63,19695.0,8007.8,-190.1,False,69,2.11,17.63,Thick,1985,JWST,True,None,True,59.98,275.89,445.53
Mars,Sol,371.1,108.64,14956.0,5569.1,-19.7,True,1,26.25,27.17,Toxic,1848,Cassini,True,None,False,52.44,85.47,296.84
Uranus,Sol,987.65,178.14,22654.0,8268.0,115.0,True,93,15.87,11.1,None,1710,Hubble,True,None,True,43.92,658.54,402.95
Mars,Betelgeuse,40.21,3.14,17664.0,6333.0,285.0,True,65,12.55,52.52,Toxic,1693,JWST,True,None,False,16.79,655.54,213.72
Neptune,Proxima Centauri,867.04,190.87,15829.0,7854.8,313.2,True,31,15.42,42.59,Thin,2009,Galileo,True,Liquid,False,80.52,99.46,56.7
Mercury,Proxima Centauri,578.72,273.99,30315.0,6005.7,496.8,False,15,20.36,6.03,Thin,1778,Cassini,False,Ice,False,22.37,322.26,216.86
Earth,Sirius,438.67,183.81,63641.0,4170.7,1.3,True,75,1.37,39.36,None,1646,JWST,True,Ice,True,8.22,992.85,228.65
Jupiter,Sol,725.29,262.12,35987.0,9581.6,176.8,True,0,26.28,39.57,Thin,1881,Cassini,False,None,False,67.5,680.03,275.47
Earth,Sol,486.72,217.22,13967.0,5434.1,173.3,False,71,13.96,57.42,Toxic,1939,Cassini,False,None,True,15.81,731.42,52.79
Uranus,Alpha Centauri,873.44,36.26,6311.0,6070.6,84.0,False,47,10.95,1.18,None,1961,Galileo,False,None,False,33.47,216.85,495.7
Jupiter,Sirius,900.71,270.75,49035.0,2243.9,-81.6,False,49,5.01,15.63,Toxic,1691,Galileo,True,Vapor,True,2.55,83.39,122.07
Mercury,Alpha Centauri,421.78,20.03,27413.0,6275.2,484.2,True,12,13.74,55.74,Toxic,1975,Cassini,True,Vapor,False,12.34,280.52,99.28
Uranus,Alpha Centauri,276.9,160.24,57706.0,5737.5,397.3,True,14,15.39,56.0,Toxic,1811,JWST,True,Ice,False,15.59,252.65,263.4
Venus,Alpha Centauri,592.39,42.73,46506.0,1889.1,148.8,True,52,12.71,43.51,Thin,1674,Apollo,True,Ice,True,4.9,238.37,268.6
Mars,Betelgeuse,912.37,3.61,55941.0,642.9,222.3,True,43,20.68,46.18,Thin,1977,Voyager,False,None,True,59.1,196.79,219.91
Mercury,Betelgeuse,210.74,126.67,19764.0,6063.4,-40.9,True,7,13.21,6.4,Toxic,1801,Galileo,False,Vapor,False,75.33,576.88,385.95
Mars,Alpha Centauri,623.0,88.58,48773.0,7648.7,180.7,False,73,28.88,31.32,Thick,2006,Apollo,False,Liquid,False,33.6,331.46,258.33
Saturn,Sirius,631.6,145.85,19220.0,5257.8,286.5,False,45,18.38,14.66,Toxic,2020,Galileo,True,Vapor,True,78.71,821.24,304.85
Venus,Sol,733.14,173.2,65796.0,2306.4,160.6,True,68,24.42,11.69,Toxic,1896,Cassini,False,Ice,False,19.2,188.03,361.87
Venus,Sirius,131.65,13.22,44910.0,6681.9,493.2,True,18,4.17,48.81,None,1907,Apollo,False,Vapor,False,29.29,467.3,12.51
Mercury,Proxima Centauri,715.85,36.99,23391.0,847.1,227.9,True,37,12.52,8.97,Toxic,1810,JWST,False,Ice,True,13.57,18.59,285.32
Venus,Betelgeuse,909.04,167.64,19596.0,4446.2,59.7,True,10,10.77,28.65,Thin,1937,JWST,True,None,True,55.85,484.27,442.1
Jupiter,Sol,179.77,103.02,14174.0,1675.5,340.5,True,42,17.51,56.38,None,2010,Hubble,False,Liquid,True,37.79,60.56,8.69
Venus,Sol,237.62,218.78,48930.0,1885.4,-80.7,False,19,25.97,11.96,Thick,1733,Voyager,False,None,False,55.2,977.83,202.59
Mars,Proxima Centauri,971.4,195.72,16091.0,2062.8,69.2,False,19,3.27,58.7,None,1929,Voyager,True,None,False,68.55,791.64,463.11
Mars,Proxima Centauri,181.06,253.7,42076.0,3897.7,42.9,False,20,3.1,59.66,Thick,1665,Galileo,False,Liquid,False,49.11,492.66,176.58
Uranus,Alpha Centauri,854.4,207.78,19260.0,558.9,102.3,True,81,25.66,33.78,None,1879,Voyager,True,Liquid,True,56.49,91.15,229.36
Mars,Betelgeuse,492.33,129.04,46676.0,4008.0,347.2,True,56,7.17,11.04,None,2021,Hubble,False,Liquid,False,84.17,594.48,490.77
Uranus,Betelgeuse,247.31,201.92,57231.0,5141.5,138.9,False,49,20.39,19.65,Thick,1627,JWST,True,Ice,True,26.92,759.97,99.66
Mars,Sirius,870.76,82.69,54684.0,4858.8,355.8,False,73,16.74,26.05,Thin,2011,Apollo,True,None,True,32.32,194.76,32.63
Jupiter,Alpha Centauri,445.36,91.96,53499.0,3858.7,203.5,True,97,25.15,19.25,Thin,1716,Apollo,True,Ice,False,64.59,570.37,429.71
Neptune,Alpha Centauri,514.87,236.72,13953.0,8399.5,39.4,False,25,4.63,17.56,Thin,1969,JWST,False,Liquid,True,55.02,815.14,434.23
Uranus,Alpha Centauri,359.3,133.98,7099.0,1496.0,367.0,False,29,4.76,58.36,None,1916,Cassini,False,Ice,False,16.07,769.41,236.04
Earth,Alpha Centauri,592.99,239.53,49227.0,5081.7,-33.2,True,72,17.15,10.05,Toxic,1924,JWST,True,Liquid,True,33.85,803.98,257.1
Saturn,Betelgeuse,163.61,246.74,26416.0,667.3,-42.9,False,30,28.44,44.27,None,1713,Apollo,True,Vapor,True,42.11,879.93,417.9
Mercury,Betelgeuse,391.14,257.28,30832.0,758.0,153.2,False,41,13.03,1.02,Toxic,1674,Galileo,True,Liquid,True,37.75,937.99,369.28
Mars,Alpha Centauri,969.42,275.0,3149.0,5760.0,-17.4,False,67,10.48,36.17,Toxic,1801,Hubble,True,None,False,16.04,408.49,132.57
Venus,Sirius,258.21,129.35,18911.0,5681.9,-193.6,True,60,18.59,55.04,Thin,1658,JWST,True,None,True,83.2,570.93,8.45
Neptune,Sol,656.77,95.73,3324.0,8786.4,253.8,False,60,27.98,17.99,Toxic,1985,Cassini,True,None,False,68.61,791.71,239.85
Mars,Sol,325.26,174.7,61664.0,5600.8,157.8,False,69,25.27,11.95,None,1614,Galileo,True,Ice,True,43.32,698.65,429.46
Venus,Sirius,773.5,111.41,17794.0,9599.9,111.9,False,77,29.87,39.45,None,1830,JWST,True,None,True,61.21,995.54,447.92
Saturn,Alpha Centauri,130.96,180.36,39456.0,534.5,476.9,True,67,1.65,43.04,Thin,1704,Galileo,True,Liquid,True,80.76,18.61,478.11
Saturn,Betelgeuse,969.82,211.71,3690.0,1025.2,199.8,True,89,4.27,41.59,Thick,1764,JWST,True,Vapor,False,12.26,358.36,439.78
Saturn,Sol,453.84,206.55,47012.0,488.5,404.4,False,16,18.67,19.84,None,1798,Galileo,True,None,False,22.53,284.62,290.02
Venus,Proxima Centauri,236.13,112.43,23289.0,1893.5,-102.4,True,18,24.8,15.88,Toxic,2003,Voyager,True,Ice,False,48.84,266.0,222.3
Mars,Proxima Centauri,73.59,50.14,62956.0,5435.6,198.4,False,50,9.27,57.4,None,1953,Galileo,False,Vapor,False,71.91,226.42,387.42
Saturn,Sirius,169.84,129.22,62280.0,6473.4,407.6,True,69,7.94,55.47,None,1634,Voyager,True,None,False,3.26,710.58,369.91
Jupiter,Alpha Centauri,519.82,42.86,23445.0,503.6,208.2,True,62,23.82,27.98,None,1761,Apollo,False,None,True,88.56,89.34,269.07
Uranus,Sol,337.07,267.04,63166.0,9462.4,302.6,False,92,2.64,50.93,Thick,1844,Voyager,False,Vapor,True,40.94,742.9,43.66
Venus,Alpha Centauri,828.9,103.83,69735.0,8429.5,60.4,False,74,11.71,27.69,Toxic,1886,Galileo,False,None,False,32.33,694.96,463.04
Venus,Sol,430.94,46.42,57954.0,3001.3,-135.3,False,79,15.67,26.04,Thin,1982,Hubble,True,Ice,False,26.35,254.55,227.8
Mars,Sirius,248.79,7.73,59296.0,818.0,120.5,True,29,17.25,10.25,None,1618,Hubble,False,Liquid,False,15.69,256.57,181.67
Venus,Sirius,617.18,193.78,18182.0,1740.4,76.1,False,24,22.13,26.16,Toxic,1879,Apollo,True,Liquid,False,71.24,630.72,314.78
Venus,Proxima Centauri,706.81,191.11,40792.0,1313.1,406.9,True,74,11.29,32.71,Toxic,1939,Galileo,False,Vapor,True,85.99,763.36,336.92
Saturn,Alpha Centauri,167.13,102.25,5641.0,1276.7,-29.2,True,70,18.77,2.33,Thin,2022,Voyager,True,Liquid,False,37.23,877.1,105.34
Mars,Proxima Centauri,167.7,21.61,7549.0,5209.7,476.7,False,25,17.98,27.2,None,1947,Hubble,True,None,False,85.72,852.88,418.47
Saturn,Alpha Centauri,36.77,122.95,69924.0,2496.2,470.7,True,55,16.88,47.1,Thick,1781,JWST,False,None,False,74.14,965.06,144.97
Uranus,Proxima Centauri,736.43,93.43,23538.0,3613.5,-26.7,False,21,19.57,41.12,Toxic,2022,Cassini,False,Ice,False,43.29,583.48,93.34
Neptune,Betelgeuse,663.84,203.17,52625.0,9895.6,43.6,True,88,8.52,38.47,Thin,2000,Galileo,True,Liquid,True,60.66,909.11,203.2
Uranus,Betelgeuse,474.68,181.77,56660.0,6858.9,426.9,False,18,3.45,54.66,Thick,1746,JWST,False,Vapor,True,39.15,809.47,365.28
Neptune,Betelgeuse,844.19,109.44,60204.0,9492.4,476.6,True,30,4.46,2.06,Toxic,1973,JWST,True,None,False,50.29,895.19,482.73
Saturn,Betelgeuse,805.69,65.45,69836.0,1468.4,110.4,True,25,7.51,33.87,None,1775,Galileo,True,Vapor,True,5.22,16.57,404.64
Uranus,Sol,585.4,296.41,17663.0,3852.3,24.7,False,41,15.51,47.45,Toxic,1762,Cassini,True,None,True,62.66,966.07,470.17
Mars,Betelgeuse,868.28,136.26,3784.0,5569.6,168.3,True,40,25.37,32.94,Thick,2015,Hubble,False,None,False,4.75,476.16,70.3
Mercury,Sirius,205.92,206.51,29372.0,813.7,281.4,False,99,21.34,20.11,Thick,1774,Cassini,True,Ice,False,73.54,799.19,35.59
Saturn,Sirius,112.01,42.25,9976.0,91.7,-8.6,True,22,23.88,9.04,None,1646,Apollo,True,Liquid,True,74.25,131.57,278.85
Neptune,Sol,269.82,145.73,2547.0,6720.8,315.5,True,46,11.18,53.37,None,1855,Voyager,True,Ice,True,21.34,398.96,145.15
Jupiter,Betelgeuse,57.18,8.36,25869.0,6436.1,-163.8,True,12,12.73,28.77,Thin,1773,Voyager,True,Liquid,True,29.13,275.1,414.03
Neptune,Betelgeuse,531.22,151.69,55078.0,4137.3,-165.5,False,88,12.42,52.81,None,1702,JWST,False,Vapor,True,43.32,295.2,335.99
Jupiter,Betelgeuse,936.61,289.21,40066.0,4922.0,70.4,False,65,6.56,35.57,Thin,1720,Hubble,False,Liquid,True,53.7,127.64,485.36
Venus,Proxima Centauri,39.44,115.32,22582.0,4183.7,47.4,False,65,2.78,40.78,Thick,2018,Cassini,False,Vapor,False,25.86,806.74,127.4
Uranus,Alpha Centauri,122.2,11.79,46150.0,288.9,20.9,False,15,18.14,48.45,Thick,1949,JWST,False,None,True,53.32,14.2,242.89
Jupiter,Proxima Centauri,452.25,9.38,17009.0,3386.9,143.7,False,72,29.69,39.89,Toxic,1744,Galileo,True,Vapor,True,26.8,315.94,250.62
Neptune,Alpha Centauri,933.88,116.46,1992.0,1812.0,24.5,True,27,5.84,24.49,Toxic,1641,JWST,True,Vapor,True,4.99,178.54,119.59
Venus,Betelgeuse,316.22,48.09,53740.0,1029.3,-65.4,True,76,2.35,31.3,Thin,1966,Galileo,True,None,True,0.23,591.09,295.05
Mercury,Betelgeuse,507.28,7.1,44038.0,9569.4,16.6,False,34,23.61,48.38,None,1628,Galileo,True,Vapor,True,9.1,257.98,221.64
Mars,Proxima Centauri,41.67,226.89,53599.0,6013.6,482.4,True,40,8.32,23.05,None,1979,Apollo,True,Vapor,True,71.3,262.7,223.36
Mars,Proxima Centauri,148.43,137.61,3687.0,7300.1,87.8,True,76,25.06,23.9,Toxic,1872,Apollo,True,None,True,86.53,490.9,181.37
Mars,Alpha Centauri,986.63,86.84,58761.0,3187.9,111.3,True,30,21.41,6.65,Thick,1613,Galileo,False,None,True,38.43,654.43,8.46
Jupiter,Sirius,965.12,270.03,43747.0,3961.8,203.6,True,84,28.42,54.96,Thin,2007,Hubble,True,None,False,46.14,125.7,261.05
Mercury,Alpha Centauri,5.04,34.93,39874.0,2407.4,488.3,False,31,12.86,6.37,Thick,1905,Apollo,True,Liquid,False,13.22,179.63,167.62
Jupiter,Proxima Centauri,951.82,286.78,44098.0,1014.8,-30.9,True,53,20.2,39.24,Thick,1912,Apollo,True,None,True,49.59,250.94,0.66
Uranus,Proxima Centauri,639.16,94.26,60646.0,1831.4,276.9,False,97,14.48,25.38,None,1788,Voyager,False,None,False,13.02,973.88,153.97
Jupiter,Sol,867.93,266.53,41499.0,7985.3,301.2,False,71,19.29,24.93,Thin,1959,JWST,True,Vapor,False,55.01,400.17,139.31
Mercury,Proxima Centauri,454.79,180.92,41086.0,6791.6,225.1,True,58,14.04,41.09,Thick,1894,Voyager,True,Ice,False,83.99,601.0,196.72
Mercury,Sol,515.64,248.03,69357.0,5491.9,-138.0,False,40,6.47,4.96,Toxic,1782,Hubble,True,Ice,False,17.61,245.34,65.93
Uranus,Sirius,488.9,295.21,53214.0,4777.1,273.8,True,65,15.73,36.03,Toxic,1951,Apollo,False,Liquid,False,68.81,493.01,253.84
Mercury,Alpha Centauri,666.9,86.59,31518.0,9228.2,-155.1,True,95,16.33,46.55,None,1635,Apollo,True,Liquid,False,2.12,78.75,346.22
Neptune,Alpha Centauri,139.74,288.34,49810.0,773.7,217.3,True,53,24.51,49.86,Toxic,1969,Cassini,True,Ice,True,33.79,39.57,315.09
Mercury,Sol,30.07,116.91,27857.0,2842.0,317.7,False,39,22.33,11.06,Toxic,1636,Hubble,False,Ice,True,9.97,471.39,401.88
Mars,Alpha Centauri,308.0,115.72,16792.0,3531.9,-52.3,False,27,20.25,53.95,Thick,1613,JWST,True,None,False,31.72,401.67,226.0
Neptune,Proxima Centauri,704.71,102.18,42183.0,7835.1,389.1,False,36,4.29,39.71,Toxic,2010,JWST,False,Vapor,True,15.62,141.2,259.55
Neptune,Betelgeuse,201.93,162.47,65045.0,9925.5,-178.8,True,64,21.9,53.03,Toxic,1722,JWST,True,None,False,33.6,689.16,405.2
Uranus,Sol,673.47,46.33,65111.0,2444.7,390.7,True,73,15.51,29.63,Thick,1682,Hubble,False,Liquid,True,37.58,992.94,213.85
Earth,Alpha Centauri,969.92,166.16,24591.0,8749.4,122.2,True,54,26.93,32.98,None,1758,Cassini,True,Ice,True,27.05,398.67,350.8
Earth,Sol,93.99,162.56,37410.0,8314.7,-47.7,False,3,27.68,55.22,None,1928,Cassini,True,Liquid,True,59.1,626.44,217.3
Mercury,Sol,672.63,228.59,15603.0,2285.3,-106.4,True,98,2.6,54.09,Thin,1701,Voyager,False,None,False,82.7,963.16,208.87
Neptune,Betelgeuse,443.81,250.11,69699.0,4023.4,467.3,True,9,24.8,27.44,Toxic,1936,Hubble,True,Liquid,True,36.05,832.38,380.1
Earth,Proxima Centauri,868.16,132.19,68697.0,4126.2,-149.1,False,46,2.09,17.19,Thick,1682,Hubble,True,Liquid,True,17.31,466.23,87.42
Earth,Sol,177.23,90.77,45816.0,9783.3,-60.6,False,74,11.65,24.2,Thin,1643,Cassini,False,Vapor,False,24.37,738.8,169.29
Mercury,Alpha Centauri,692.66,77.87,56505.0,1849.9,43.5,False,13,16.73,23.88,None,1667,Galileo,True,Liquid,False,76.86,132.49,112.09
Earth,Sirius,838.13,58.47,50342.0,8001.6,234.2,True,37,5.29,17.93,None,1647,Galileo,False,None,True,51.45,514.54,179.55
Jupiter,Sol,944.62,17.39,41928.0,3375.2,181.4,True,11,22.64,16.85,Thick,1656,Voyager,True,Vapor,False,40.95,282.66,115.19
Venus,Sol,683.28,102.8,4681.0,7322.2,-112.0,True,44,1.24,51.8,Thin,1674,Galileo,False,Liquid,True,13.47,165.36,289.7
Uranus,Betelgeuse,497.23,81.15,32379.0,4229.1,2.8,False,16,5.89,5.12,Thin,1621,Galileo,True,None,True,40.48,429.15,399.09
Venus,Proxima Centauri,617.89,289.93,47560.0,5804.7,-32.9,False,79,17.84,40.98,Thick,1731,Galileo,True,Ice,False,25.06,135.36,393.31
Mercury,Sirius,868.92,167.36,47750.0,8334.5,-50.5,False,34,21.72,11.2,Thick,1901,Apollo,False,Vapor,False,84.88,700.49,182.25
Mars,Alpha Centauri,570.65,104.25,26745.0,8051.4,87.8,False,65,27.58,21.33,Thin,2017,Voyager,True,Liquid,True,79.57,458.96,494.38
Uranus,Sirius,30.48,174.18,65977.0,8670.9,292.8,True,74,21.46,4.63,None,1866,Cassini,False,Liquid,False,7.55,533.49,296.93
Mercury,Alpha Centauri,930.96,41.85,12548.0,643.2,-47.8,True,40,20.48,16.93,Toxic,1886,Galileo,False,Vapor,True,46.5,150.64,199.7
Neptune,Proxima Centauri,689.56,133.27,35525.0,6935.9,56.7,True,66,12.44,46.34,None,1994,JWST,False,None,False,20.26,144.07,417.77
Mars,Alpha Centauri,676.55,187.91,48671.0,1442.9,73.6,True,28,1.04,53.22,Thick,1719,Apollo,True,Liquid,False,36.97,585.5,364.94
Venus,Betelgeuse,215.75,146.72,49102.0,4187.4,483.5,True,17,4.48,14.07,Thin,1845,Galileo,True,None,False,78.92,985.08,374.64
Mercury,Betelgeuse,658.92,120.59,45756.0,5508.5,468.3,True,19,16.5,28.35,Thin,1655,Apollo,True,Vapor,False,47.48,100.77,98.07
Neptune,Betelgeuse,393.93,298.16,19995.0,4057.3,360.1,True,13,20.58,28.75,Toxic,1637,Voyager,False,Liquid,False,30.08,289.3,234.16
Uranus,Betelgeuse,651.27,264.11,11778.0,5220.1,-30.8,True,33,13.11,52.54,Thin,1844,JWST,False,Ice,True,18.71,870.11,430.91
Uranus,Sirius,106.68,187.06,44880.0,9965.4,-152.4,False,48,22.19,46.01,Toxic,1620,JWST,False,Ice,True,72.03,76.91,252.02
Saturn,Proxima Centauri,657.88,170.86,42352.0,1395.4,21.8,False,53,16.13,31.27,None,1709,JWST,True,Ice,True,56.21,876.51,341.73
Neptune,Alpha Centauri,999.41,186.24,13376.0,6770.8,-13.2,True,30,3.15,40.57,None,1693,Galileo,False,Vapor,False,42.13,526.66,293.97
Jupiter,Alpha Centauri,48.31,60.47,49655.0,3990.2,154.1,False,57,6.57,50.99,Thin,1993,Apollo,True,Liquid,True,19.57,411.23,421.18
Earth,Betelgeuse,977.18,118.6,32407.0,1373.4,344.4,True,41,25.36,1.56,Thin,2009,JWST,True,Vapor,True,30.08,313.13,142.28
Mars,Betelgeuse,406.97,11.93,47075.0,1629.4,400.8,True,57,22.02,24.77,Thick,1735,Hubble,True,Liquid,False,86.39,300.63,287.74
Neptune,Sol,870.77,142.72,58778.0,9495.3,391.4,False,81,26.95,54.53,Thick,1830,Hubble,True,Ice,False,46.81,309.27,61.62
Saturn,Proxima Centauri,782.41,162.95,12711.0,8802.0,51.8,True,29,4.41,44.68,Thin,1607,Apollo,True,Ice,False,36.06,885.38,345.11
